title,year,streamings,synopsis_introduction,synopsis_content,just_watch_rating,rotten_tomatoes_rating,imdb_ratings,genres,movie_duration,age_classification
Nosferatu(2024),(2024),"['Amazon Prime Video', 'Apple TV', 'Amazon Prime Video', 'Apple TV', 'Amazon Prime Video', 'Apple TV', 'Claro tv+', 'Amazon Video', 'Amazon Video', 'Claro video', 'Amazon Prime Video with Ads']",,"No século XIX, o vampiro Conde Orlok, baseado em ""Drácula”, busca por uma casa na Alemanha em uma adaptação do filme clássico, Nosferatu. Porém, o vampiro acaba se apaixonando pela esposa do corretor de imóveis, lançando todos em uma história repleta de horrores.",84%(8.4k),84%,7.2  (233k),"['Terror', 'Fantasia', 'Fantasia Sombria']",2h 13min,16
O Mapa Que Me Leva Até Você(2025),(2025),"['Amazon Prime Video', 'Amazon Prime Video', 'Amazon Prime Video with Ads', 'Amazon Prime Video']",,"Viajando pela Europa com suas amigas, a jovem Heather (Madelyn Cline) tem sua vida inteira planejada. Quando conhece um rapaz misterioso, Jack (KJ Apa), que leva uma vida com menos estrutura, Heather vai em uma nova trajetória que leva os dois para um novo destino.",73%(510),38%,6.2  (7k),"['Drama', 'Romance', 'Drama Romântico']",1h 36min,14
Motorista de Fuga(2025),(2025),"['Disney Plus', 'Disney Plus', 'Amazon Prime Video']",,"Como uma motorista de fuga adolescente reformada, a vida de Edie vira de cabeça para baixo quando reencontra o seu ex-namorado trambiqueiro, John. Com um chefe do crime ameaçando a vida de John, ela precisa retornar para a vida do crime para assaltar um cassino e salvar a vida de seu ex.",72%(559),42%,5.9  (8k),"['Mistério & Thriller', 'Comédia', 'Drama', 'Ação & Aventura', 'Ação e Comédia']",1h 46min,16
Fala Comigo(2023),(2023),"['HBO Max Amazon Channel', 'Apple TV', 'Apple TV', 'Apple TV', 'Amazon Prime Video', 'Amazon Video', 'Amazon Video', 'Claro video', 'HBO Max Amazon Channel', 'HBO Max']",,"Um grupo de amigos descobre uma mão embalsamada que lhes permite conjurar espíritos. Viciado na emoção, um deles vai longe demais e abre a porta para o mundo espiritual.",NAOAVALIADO,NAOAVALIADO,7.1  (197k),"['Terror', 'Mistério & Thriller', 'Suspense de Terror']",1h 35min,16
Ninguém 2(2025),(2025),['Amazon Prime Video'],,"Bob Odenkirk retorna como Hutch Mansell, o ex-assassino letal, agora pai suburbano, quatro anos após os eventos do primeiro filme. Saindo de férias com sua família, o passado de Hutch atrapalha toda a diversão quando descobre um operador de parque corrupto, um xerife questionável e uma chefe do crime perigosa.",90%(456),78%,6.4  (29k),"['Mistério & Thriller', 'Ação & Aventura', 'Comédia', 'Crime', 'Thriller de Ação']",1h 29min,16
Aonde É que Pára a Polícia(1988),(1988),"['Paramount+ Amazon Channel', 'Apple TV', 'Apple TV', 'Apple TV', 'Amazon Prime Video', 'Netflix', 'Netflix Standard with Ads', 'Paramount Plus', 'Amazon Video', 'Amazon Video', 'Paramount+ Amazon Channel', 'Paramount Plus Premium']",,"Frank Drebin é um detetive pra lá de incompetente, mas ele pode ser o único capaz de salvar a Rainha Elizabeth II. Nesta comédia hilária, Frank faz de tudo para impedir o jogador de beisebol que sofreu lavagem cerebral, de executar o atentado.",94%(11k),88%,7.6  (211k),"['Comédia', 'Crime', 'Ação e Comédia']",1h 26min,L
Ninguém(2021),(2021),"['Apple TV', 'Apple TV', 'Apple TV', 'Amazon Prime Video', 'Amazon Video', 'Amazon Video', 'Claro video']",,"Por vezes, o homem em quem ninguém repara é o mais perigoso de todos... Bob Odenkirk interpreta Hutch Mansell, um pai e marido negligenciado, que tudo aceita, sem nunca reclamar. Ele não é ninguém. Numa noite, dois ladrões invadem a casa de Hutch e este recusa defender-se a si e à sua família, na esperança de evitar uma escalada de violência. O filho adolescente, Blake, fica desiludido com o pai e a sua mulher, Becca, parece afastar-se cada vez mais dele. Após o assalto, a fúria de Hutch desencadeia instintos adormecidos, levando-o por um caminho que irá trazer à tona segredos mais sombrios e capacidades mortíferas. Num cenário de luta, armas e derrapagens, Hutch tem de salvar a sua família de um perigoso adversário e garantir que nunca mais será subestimado.",95%(35k),84%,7.4  (371k),"['Ação & Aventura', 'Mistério & Thriller', 'Crime', 'Drama', 'Thriller de Ação']",1h 32min,18
The Conjuring 4: Extrema-Unção(2025),(2025),"['UCIcinemas', 'Cinesystem Cinemas', 'Amazon Prime Video', 'Kinoplex', 'Cineflix']",,"Ed e Lorraine retornam em sua última investigação no caso aterrorizante com entidades misteriosas. O casal paranormal precisa encarar seus maiores medos, arriscando suas vidas mais uma vez na luta contra forças malignas que desafiam a compreensão.",82%(413),57%,6.5  (25k),"['Terror', 'Mistério & Thriller', 'Suspense de Terror']",2h 15min,16
A Pior Pessoa do Mundo(2021),(2021),"['Amazon Prime Video', 'Apple TV', 'Amazon Prime Video', 'Apple TV', 'Amazon Prime Video', 'Apple TV', 'Amazon Video', 'Amazon Video', 'Amazon Prime Video with Ads']",,"Julie é jovem, bonita, inteligente e não sabe exatamente o que deseja em uma carreira ou parceiro. Uma noite ela conhece Aksel, um conhecido romancista gráfico 15 anos mais velho que ela, e eles rapidamente se apaixonam. Todavia, ela também conhece um barista de café, Eivind, que também está em um relacionamento. Julie tem que decidir, não apenas entre dois homens, mas também quem ela é e quem ela quer ser.",87%(8.8k),96%,7.7  (103k),"['Drama', 'Romance', 'Comédia', 'Comédia Romântica', 'Comédia Dramática']",2h 8min,16
The Médium(2021),(2021),"['Amazon Prime Video', 'Apple TV', 'Amazon Prime Video', 'Apple TV', 'Amazon Prime Video', 'Apple TV', 'Amazon Prime Video with Ads']",,"Na remota região de Isan, na Tailândia, uma família xamã luta contra forças ancestrais quando Nim, uma médium em treinamento, começa a exibir comportamentos cada vez mais perturbadores. O que parece ser a bênção da Deusa Bayan, revela uma presença muito mais sombria e violenta. Enquanto rituais falham e o terror se intensifica, a verdade emerge: alguns legados não são divinos — são pragas disfarçadas de devoção.",76%(1.3k),80%,6.5  (16k),"['Mistério & Thriller', 'Terror', 'Drama', 'Suspense de Terror']",2h 11min,16
